Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-12 13:07:13.536892,,Eye Tracker,1937.0,1044.0,Valid,Valid,Saccade
2022-12-12 13:07:13.553547,,Eye Tracker,1938.0,1042.0,Valid,Valid,Fixation
2022-12-12 13:07:13.570202,,Eye Tracker,1945.0,1023.0,Valid,Valid,Fixation
2022-12-12 13:07:13.586857,,Eye Tracker,1935.0,1024.0,Valid,Valid,Fixation
2022-12-12 13:07:13.603512,,Eye Tracker,1934.0,1026.0,Valid,Valid,Fixation
2022-12-12 13:07:13.620167,,Eye Tracker,1947.0,1025.0,Valid,Valid,Fixation
2022-12-12 13:07:13.636822,,Eye Tracker,1935.0,1040.0,Valid,Valid,Fixation
2022-12-12 13:07:13.653476,,Eye Tracker,1934.0,1038.0,Valid,Valid,Fixation
2022-12-12 13:07:13.670131,,Eye Tracker,1941.0,1025.0,Valid,Valid,Fixation
2022-12-12 13:07:13.686786,,Eye Tracker,1944.0,1027.0,Valid,Valid,Fixation
2022-12-12 13:07:13.703440,,Eye Tracker,1941.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:13.720095,,Eye Tracker,1947.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:13.736750,,Eye Tracker,1948.0,1035.0,Valid,Valid,Fixation
2022-12-12 13:07:13.753404,,Eye Tracker,1950.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:13.770059,,Eye Tracker,1950.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:13.786714,,Eye Tracker,1934.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:13.803369,,Eye Tracker,1931.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:13.820024,,Eye Tracker,1934.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:13.836679,,Eye Tracker,1933.0,1038.0,Valid,Valid,Fixation
2022-12-12 13:07:13.853333,,Eye Tracker,1938.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:13.869988,,Eye Tracker,1938.0,1030.0,Valid,Valid,Fixation
2022-12-12 13:07:13.886643,,Eye Tracker,1937.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:13.903298,,Eye Tracker,1934.0,1041.0,Valid,Valid,Fixation
2022-12-12 13:07:13.919952,,Eye Tracker,1932.0,1041.0,Valid,Valid,Fixation
2022-12-12 13:07:13.936607,,Eye Tracker,1932.0,1042.0,Valid,Valid,Fixation
2022-12-12 13:07:13.953262,,Eye Tracker,1932.0,1040.0,Valid,Valid,Fixation
2022-12-12 13:07:13.969916,,Eye Tracker,1932.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:13.986571,,Eye Tracker,1926.0,1028.0,Valid,Valid,Fixation
2022-12-12 13:07:14.003226,,Eye Tracker,1926.0,1020.0,Valid,Valid,Fixation
2022-12-12 13:07:14.019880,,Eye Tracker,1937.0,1017.0,Valid,Valid,Fixation
2022-12-12 13:07:14.036536,,Eye Tracker,1935.0,1020.0,Valid,Valid,Fixation
2022-12-12 13:07:14.053191,,Eye Tracker,1912.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:14.069845,,Eye Tracker,1901.0,1024.0,Valid,Valid,Fixation
2022-12-12 13:07:14.086500,,Eye Tracker,1905.0,1019.0,Valid,Valid,Fixation
2022-12-12 13:07:14.103155,,Eye Tracker,1905.0,1023.0,Valid,Valid,Fixation
2022-12-12 13:07:14.119809,,Eye Tracker,1905.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:14.136464,,Eye Tracker,1902.0,1030.0,Valid,Valid,Fixation
2022-12-12 13:07:14.153119,,Eye Tracker,1897.0,1021.0,Valid,Valid,Fixation
2022-12-12 13:07:14.169774,,Eye Tracker,1898.0,1021.0,Valid,Valid,Fixation
2022-12-12 13:07:14.186428,,Eye Tracker,1899.0,1022.0,Valid,Valid,Fixation
2022-12-12 13:07:14.203083,,Eye Tracker,1903.0,1017.0,Valid,Valid,Fixation
2022-12-12 13:07:14.219738,,Eye Tracker,1902.0,1012.0,Valid,Valid,Fixation
2022-12-12 13:07:14.236392,,Eye Tracker,1901.0,1018.0,Valid,Valid,Fixation
2022-12-12 13:07:14.253047,,Eye Tracker,1894.0,1020.0,Valid,Valid,Fixation
2022-12-12 13:07:14.269703,,Eye Tracker,1891.0,1018.0,Valid,Valid,Fixation
2022-12-12 13:07:14.286357,,Eye Tracker,1884.0,1023.0,Valid,Valid,Fixation
2022-12-12 13:07:14.303012,,Eye Tracker,1880.0,1021.0,Valid,Valid,Fixation
2022-12-12 13:07:14.319667,,Eye Tracker,1878.0,1020.0,Valid,Valid,Fixation
2022-12-12 13:07:14.336321,,Eye Tracker,1865.0,1018.0,Valid,Valid,Fixation
2022-12-12 13:07:14.352976,,Eye Tracker,1842.0,1022.0,Valid,Valid,Fixation
2022-12-12 13:07:14.369631,,Eye Tracker,1830.0,1019.0,Valid,Valid,Fixation
2022-12-12 13:07:14.386285,,Eye Tracker,1833.0,1018.0,Valid,Valid,Fixation
2022-12-12 13:07:14.402940,,Eye Tracker,1827.0,1015.0,Valid,Valid,Fixation
2022-12-12 13:07:14.419595,,Eye Tracker,1827.0,1016.0,Valid,Valid,Fixation
2022-12-12 13:07:14.436250,,Eye Tracker,1818.0,1018.0,Valid,Valid,Fixation
2022-12-12 13:07:14.452904,,Eye Tracker,1814.0,1017.0,Valid,Valid,Fixation
2022-12-12 13:07:14.469559,,Eye Tracker,1812.0,1017.0,Valid,Valid,Fixation
2022-12-12 13:07:14.486215,,Eye Tracker,1809.0,1018.0,Valid,Valid,Fixation
2022-12-12 13:07:14.502869,,Eye Tracker,1797.0,1013.0,Valid,Valid,Fixation
2022-12-12 13:07:14.519524,,Eye Tracker,1789.0,1008.0,Valid,Valid,Fixation
2022-12-12 13:07:14.536179,,Eye Tracker,1788.0,1011.0,Valid,Valid,Fixation
2022-12-12 13:07:14.552833,,Eye Tracker,1783.0,1018.0,Valid,Valid,Fixation
2022-12-12 13:07:14.569488,,Eye Tracker,1774.0,1020.0,Valid,Valid,Fixation
2022-12-12 13:07:14.586143,,Eye Tracker,1762.0,1018.0,Valid,Valid,Fixation
2022-12-12 13:07:14.602797,,Eye Tracker,1757.0,1021.0,Valid,Valid,Fixation
2022-12-12 13:07:14.619452,,Eye Tracker,1757.0,1027.0,Valid,Valid,Fixation
2022-12-12 13:07:14.636107,,Eye Tracker,1760.0,1027.0,Valid,Valid,Fixation
2022-12-12 13:07:14.652761,,Eye Tracker,1752.0,1031.0,Valid,Valid,Fixation
2022-12-12 13:07:14.669416,,Eye Tracker,1749.0,1030.0,Valid,Valid,Fixation
2022-12-12 13:07:14.686071,,Eye Tracker,1731.0,1013.0,Valid,Valid,Saccade
2022-12-12 13:07:14.702726,,Eye Tracker,1716.0,1007.0,Valid,Valid,Fixation
2022-12-12 13:07:14.719381,,Eye Tracker,1724.0,1007.0,Valid,Valid,Fixation
2022-12-12 13:07:14.736036,,Eye Tracker,1713.0,1007.0,Valid,Valid,Fixation
2022-12-12 13:07:14.752691,,Eye Tracker,1710.0,1007.0,Valid,Valid,Fixation
2022-12-12 13:07:14.769345,,Eye Tracker,1706.0,1009.0,Valid,Valid,Fixation
2022-12-12 13:07:14.786000,,Eye Tracker,1698.0,1002.0,Valid,Valid,Fixation
2022-12-12 13:07:14.802655,,Eye Tracker,1693.0,1004.0,Valid,Valid,Fixation
2022-12-12 13:07:14.819309,,Eye Tracker,1691.0,1011.0,Valid,Valid,Fixation
2022-12-12 13:07:14.835964,,Eye Tracker,1685.0,1010.0,Valid,Valid,Fixation
2022-12-12 13:07:14.852619,,Eye Tracker,1687.0,1009.0,Valid,Valid,Fixation
2022-12-12 13:07:14.869273,,Eye Tracker,1682.0,1009.0,Valid,Valid,Fixation
2022-12-12 13:07:14.885928,,Eye Tracker,1675.0,1011.0,Valid,Valid,Fixation
2022-12-12 13:07:14.902583,,Eye Tracker,1671.0,1005.0,Valid,Valid,Fixation
2022-12-12 13:07:14.919237,,Eye Tracker,1676.0,1004.0,Valid,Valid,Fixation
2022-12-12 13:07:14.935893,,Eye Tracker,1677.0,1009.0,Valid,Valid,Fixation
2022-12-12 13:07:14.952548,,Eye Tracker,1675.0,1014.0,Valid,Valid,Fixation
2022-12-12 13:07:14.969203,,Eye Tracker,1675.0,1015.0,Valid,Valid,Fixation
2022-12-12 13:07:14.985857,,Eye Tracker,1670.0,1015.0,Valid,Valid,Fixation
2022-12-12 13:07:15.002512,,Eye Tracker,1665.0,1018.0,Valid,Valid,Fixation
2022-12-12 13:07:15.019167,,Eye Tracker,1663.0,1028.0,Valid,Valid,Fixation
2022-12-12 13:07:15.035821,,Eye Tracker,1660.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:15.052476,,Eye Tracker,1662.0,1039.0,Valid,Valid,Fixation
2022-12-12 13:07:15.069131,,Eye Tracker,1663.0,1038.0,Valid,Valid,Fixation
2022-12-12 13:07:15.085785,,Eye Tracker,1652.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:15.102440,,Eye Tracker,1650.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:15.119095,,Eye Tracker,1653.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:15.135749,,Eye Tracker,1651.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:15.152404,,Eye Tracker,1657.0,1035.0,Valid,Valid,Fixation
2022-12-12 13:07:15.169060,,Eye Tracker,1653.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:15.185714,,Eye Tracker,1644.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:15.202369,,Eye Tracker,1642.0,1031.0,Valid,Valid,Fixation
2022-12-12 13:07:15.219024,,Eye Tracker,1636.0,1026.0,Valid,Valid,Fixation
2022-12-12 13:07:15.235679,,Eye Tracker,1624.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:15.252333,,Eye Tracker,1624.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:15.268988,,Eye Tracker,1623.0,1030.0,Valid,Valid,Fixation
2022-12-12 13:07:15.285643,,Eye Tracker,1618.0,1038.0,Valid,Valid,Fixation
2022-12-12 13:07:15.302297,,Eye Tracker,1611.0,1037.0,Valid,Valid,Fixation
2022-12-12 13:07:15.318952,,Eye Tracker,1606.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:15.335607,,Eye Tracker,1598.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:15.352261,,Eye Tracker,1595.0,1035.0,Valid,Valid,Fixation
2022-12-12 13:07:15.368916,,Eye Tracker,1596.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:15.385571,,Eye Tracker,1599.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:15.402226,,Eye Tracker,1584.0,1039.0,Valid,Valid,Fixation
2022-12-12 13:07:15.418881,,Eye Tracker,1558.0,1097.0,Valid,Valid,Saccade
2022-12-12 13:07:15.435536,,Eye Tracker,1541.0,1125.0,Valid,Valid,Saccade
2022-12-12 13:07:15.452190,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
2022-12-12 13:07:15.468845,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
2022-12-12 13:07:15.485500,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
2022-12-12 13:07:15.502155,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
2022-12-12 13:07:15.518809,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
2022-12-12 13:07:15.535464,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
2022-12-12 13:07:15.552119,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
2022-12-12 13:07:15.568773,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
2022-12-12 13:07:15.585428,,Eye Tracker,1504.0,1125.0,Valid,Valid,Saccade
2022-12-12 13:07:15.602083,,Eye Tracker,1401.0,1099.0,Valid,Valid,Saccade
2022-12-12 13:07:15.618738,,Eye Tracker,1415.0,986.0,Valid,Valid,Saccade
2022-12-12 13:07:15.635393,,Eye Tracker,1514.0,998.0,Valid,Valid,Saccade
2022-12-12 13:07:15.652048,,Eye Tracker,1515.0,1008.0,Valid,Valid,Fixation
2022-12-12 13:07:15.668702,,Eye Tracker,1512.0,1013.0,Valid,Valid,Fixation
2022-12-12 13:07:15.685357,,Eye Tracker,1510.0,1018.0,Valid,Valid,Fixation
2022-12-12 13:07:15.702012,,Eye Tracker,1511.0,1011.0,Valid,Valid,Fixation
2022-12-12 13:07:15.718666,,Eye Tracker,1512.0,1014.0,Valid,Valid,Fixation
2022-12-12 13:07:15.735321,,Eye Tracker,1513.0,1015.0,Valid,Valid,Fixation
2022-12-12 13:07:15.751976,,Eye Tracker,1509.0,1009.0,Valid,Valid,Fixation
2022-12-12 13:07:15.768631,,Eye Tracker,1509.0,1009.0,Valid,Valid,Fixation
2022-12-12 13:07:15.785285,,Eye Tracker,1513.0,1011.0,Valid,Valid,Fixation
2022-12-12 13:07:15.801940,,Eye Tracker,1510.0,1012.0,Valid,Valid,Fixation
2022-12-12 13:07:15.818595,,Eye Tracker,1504.0,1011.0,Valid,Valid,Fixation
2022-12-12 13:07:15.835249,,Eye Tracker,1501.0,1011.0,Valid,Valid,Fixation
2022-12-12 13:07:15.851905,,Eye Tracker,1496.0,1012.0,Valid,Valid,Fixation
2022-12-12 13:07:15.868560,,Eye Tracker,1492.0,1012.0,Valid,Valid,Fixation
2022-12-12 13:07:15.885214,,Eye Tracker,1495.0,1014.0,Valid,Valid,Fixation
2022-12-12 13:07:15.901869,,Eye Tracker,1494.0,1009.0,Valid,Valid,Fixation
2022-12-12 13:07:15.918524,,Eye Tracker,1489.0,1007.0,Valid,Valid,Fixation
2022-12-12 13:07:15.935178,,Eye Tracker,1452.0,1003.0,Valid,Valid,Saccade
2022-12-12 13:07:15.951833,,Eye Tracker,1435.0,994.0,Valid,Valid,Fixation
2022-12-12 13:07:15.968488,,Eye Tracker,1436.0,992.0,Valid,Valid,Fixation
2022-12-12 13:07:15.985142,,Eye Tracker,1437.0,987.0,Valid,Valid,Fixation
2022-12-12 13:07:16.001797,,Eye Tracker,1437.0,988.0,Valid,Valid,Fixation
2022-12-12 13:07:16.018452,,Eye Tracker,1436.0,989.0,Valid,Valid,Fixation
2022-12-12 13:07:16.035107,,Eye Tracker,1437.0,988.0,Valid,Valid,Fixation
2022-12-12 13:07:16.051761,,Eye Tracker,1433.0,997.0,Valid,Valid,Fixation
2022-12-12 13:07:16.068416,,Eye Tracker,1430.0,998.0,Valid,Valid,Fixation
2022-12-12 13:07:16.085072,,Eye Tracker,1416.0,1000.0,Valid,Valid,Fixation
2022-12-12 13:07:16.101726,,Eye Tracker,1416.0,999.0,Valid,Valid,Fixation
2022-12-12 13:07:16.118381,,Eye Tracker,1425.0,999.0,Valid,Valid,Fixation
2022-12-12 13:07:16.135036,,Eye Tracker,1420.0,1002.0,Valid,Valid,Fixation
2022-12-12 13:07:16.151690,,Eye Tracker,1414.0,1003.0,Valid,Valid,Fixation
2022-12-12 13:07:16.168345,,Eye Tracker,1411.0,1005.0,Valid,Valid,Fixation
2022-12-12 13:07:16.185000,,Eye Tracker,1412.0,1002.0,Valid,Valid,Fixation
2022-12-12 13:07:16.201654,,Eye Tracker,1411.0,999.0,Valid,Valid,Fixation
2022-12-12 13:07:16.218309,,Eye Tracker,1408.0,1004.0,Valid,Valid,Fixation
2022-12-12 13:07:16.234964,,Eye Tracker,1403.0,1004.0,Valid,Valid,Fixation
2022-12-12 13:07:16.251618,,Eye Tracker,1401.0,1004.0,Valid,Valid,Fixation
2022-12-12 13:07:16.268273,,Eye Tracker,1401.0,1005.0,Valid,Valid,Fixation
2022-12-12 13:07:16.284928,,Eye Tracker,1401.0,1000.0,Valid,Valid,Fixation
2022-12-12 13:07:16.301584,,Eye Tracker,1395.0,1005.0,Valid,Valid,Fixation
2022-12-12 13:07:16.318238,,Eye Tracker,1392.0,1008.0,Valid,Valid,Fixation
2022-12-12 13:07:16.334893,,Eye Tracker,1389.0,1008.0,Valid,Valid,Fixation
2022-12-12 13:07:16.351548,,Eye Tracker,1390.0,1009.0,Valid,Valid,Fixation
2022-12-12 13:07:16.368202,,Eye Tracker,1386.0,1009.0,Valid,Valid,Fixation
2022-12-12 13:07:16.384857,,Eye Tracker,1374.0,1014.0,Valid,Valid,Fixation
2022-12-12 13:07:16.401512,,Eye Tracker,1359.0,1013.0,Valid,Valid,Fixation
2022-12-12 13:07:16.418166,,Eye Tracker,1359.0,1011.0,Valid,Valid,Fixation
2022-12-12 13:07:16.434821,,Eye Tracker,1358.0,1013.0,Valid,Valid,Fixation
2022-12-12 13:07:16.451476,,Eye Tracker,1354.0,1014.0,Valid,Valid,Fixation
2022-12-12 13:07:16.468130,,Eye Tracker,1353.0,1012.0,Valid,Valid,Fixation
2022-12-12 13:07:16.484785,,Eye Tracker,1352.0,1012.0,Valid,Valid,Fixation
2022-12-12 13:07:16.501440,,Eye Tracker,1352.0,1013.0,Valid,Valid,Fixation
2022-12-12 13:07:16.518094,,Eye Tracker,1358.0,1011.0,Valid,Valid,Fixation
2022-12-12 13:07:16.534750,,Eye Tracker,1357.0,1013.0,Valid,Valid,Fixation
2022-12-12 13:07:16.551405,,Eye Tracker,1354.0,1014.0,Valid,Valid,Fixation
2022-12-12 13:07:16.568060,,Eye Tracker,1354.0,1015.0,Valid,Valid,Fixation
2022-12-12 13:07:16.584714,,Eye Tracker,1357.0,1021.0,Valid,Valid,Fixation
2022-12-12 13:07:16.601369,,Eye Tracker,1356.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:16.618024,,Eye Tracker,1357.0,1037.0,Valid,Valid,Fixation
2022-12-12 13:07:16.634678,,Eye Tracker,1357.0,1037.0,Valid,Valid,Fixation
2022-12-12 13:07:16.651333,,Eye Tracker,1356.0,1037.0,Valid,Valid,Fixation
2022-12-12 13:07:16.667988,,Eye Tracker,1356.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:16.684642,,Eye Tracker,1356.0,1035.0,Valid,Valid,Fixation
2022-12-12 13:07:16.701297,,Eye Tracker,1356.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:16.717952,,Eye Tracker,1356.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:16.734606,,Eye Tracker,1354.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:16.751262,,Eye Tracker,1355.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:16.767917,,Eye Tracker,1359.0,1030.0,Valid,Valid,Fixation
2022-12-12 13:07:16.784571,,Eye Tracker,1355.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:16.801226,,Eye Tracker,1350.0,1039.0,Valid,Valid,Fixation
2022-12-12 13:07:16.817881,,Eye Tracker,1352.0,1035.0,Valid,Valid,Fixation
2022-12-12 13:07:16.834536,,Eye Tracker,1353.0,1035.0,Valid,Valid,Fixation
2022-12-12 13:07:16.851190,,Eye Tracker,1356.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:16.867845,,Eye Tracker,1340.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:16.884500,,Eye Tracker,1342.0,1024.0,Valid,Valid,Fixation
2022-12-12 13:07:16.901154,,Eye Tracker,1349.0,1025.0,Valid,Valid,Fixation
2022-12-12 13:07:16.917809,,Eye Tracker,1353.0,1026.0,Valid,Valid,Fixation
2022-12-12 13:07:16.934464,,Eye Tracker,1356.0,1023.0,Valid,Valid,Fixation
2022-12-12 13:07:16.951118,,Eye Tracker,1348.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:16.967773,,Eye Tracker,1348.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:16.984429,,Eye Tracker,1349.0,1037.0,Valid,Valid,Fixation
2022-12-12 13:07:17.001083,,Eye Tracker,1350.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:17.017738,,Eye Tracker,1352.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:17.034393,,Eye Tracker,1351.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:17.051047,,Eye Tracker,1349.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:17.067702,,Eye Tracker,1351.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:17.084357,,Eye Tracker,1350.0,1038.0,Valid,Valid,Fixation
2022-12-12 13:07:17.101012,,Eye Tracker,1347.0,1037.0,Valid,Valid,Fixation
2022-12-12 13:07:17.117666,,Eye Tracker,1348.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:17.134321,,Eye Tracker,1348.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:17.150976,,Eye Tracker,1349.0,1037.0,Valid,Valid,Fixation
2022-12-12 13:07:17.167630,,Eye Tracker,1349.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:17.184285,,Eye Tracker,1354.0,1026.0,Valid,Valid,Fixation
2022-12-12 13:07:17.200940,,Eye Tracker,1361.0,1023.0,Valid,Valid,Fixation
2022-12-12 13:07:17.217595,,Eye Tracker,1363.0,1027.0,Valid,Valid,Fixation
2022-12-12 13:07:17.234250,,Eye Tracker,1368.0,1028.0,Valid,Valid,Fixation
2022-12-12 13:07:17.250905,,Eye Tracker,1362.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:17.267559,,Eye Tracker,1362.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:17.284214,,Eye Tracker,1361.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:17.300869,,Eye Tracker,1359.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:17.317523,,Eye Tracker,1357.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:17.334178,,Eye Tracker,1357.0,1031.0,Valid,Valid,Fixation
2022-12-12 13:07:17.350833,,Eye Tracker,1354.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:17.367488,,Eye Tracker,1347.0,1031.0,Valid,Valid,Fixation
2022-12-12 13:07:17.384142,,Eye Tracker,1349.0,1037.0,Valid,Valid,Fixation
2022-12-12 13:07:17.400797,,Eye Tracker,1350.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:17.417452,,Eye Tracker,1357.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:17.434107,,Eye Tracker,1360.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:17.450762,,Eye Tracker,1361.0,1030.0,Valid,Valid,Fixation
2022-12-12 13:07:17.467417,,Eye Tracker,1362.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:17.484071,,Eye Tracker,1364.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:17.500726,,Eye Tracker,1363.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:17.517381,,Eye Tracker,1363.0,1030.0,Valid,Valid,Fixation
2022-12-12 13:07:17.534035,,Eye Tracker,1363.0,1035.0,Valid,Valid,Fixation
2022-12-12 13:07:17.550690,,Eye Tracker,1361.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:17.567345,,Eye Tracker,1366.0,1035.0,Valid,Valid,Fixation
2022-12-12 13:07:17.583999,,Eye Tracker,1367.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:17.600654,,Eye Tracker,1370.0,1030.0,Valid,Valid,Fixation
2022-12-12 13:07:17.617309,,Eye Tracker,1374.0,1031.0,Valid,Valid,Fixation
2022-12-12 13:07:17.633964,,Eye Tracker,1374.0,1028.0,Valid,Valid,Fixation
2022-12-12 13:07:17.650618,,Eye Tracker,1369.0,1026.0,Valid,Valid,Fixation
2022-12-12 13:07:17.667274,,Eye Tracker,1369.0,1024.0,Valid,Valid,Fixation
2022-12-12 13:07:17.683929,,Eye Tracker,1368.0,1024.0,Valid,Valid,Fixation
2022-12-12 13:07:17.700583,,Eye Tracker,1370.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:17.717238,,Eye Tracker,1373.0,1038.0,Valid,Valid,Fixation
2022-12-12 13:07:17.733893,,Eye Tracker,1374.0,1039.0,Valid,Valid,Fixation
2022-12-12 13:07:17.750547,,Eye Tracker,1378.0,1039.0,Valid,Valid,Fixation
2022-12-12 13:07:17.767202,,Eye Tracker,1381.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:17.783857,,Eye Tracker,1380.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:17.800511,,Eye Tracker,1380.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:17.817166,,Eye Tracker,1381.0,1031.0,Valid,Valid,Fixation
2022-12-12 13:07:17.833821,,Eye Tracker,1382.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:17.850475,,Eye Tracker,1381.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:17.867130,,Eye Tracker,1384.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:17.883786,,Eye Tracker,1381.0,1034.0,Valid,Valid,Fixation
2022-12-12 13:07:17.900441,,Eye Tracker,1377.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:17.917095,,Eye Tracker,1379.0,1037.0,Valid,Valid,Fixation
2022-12-12 13:07:17.933750,,Eye Tracker,1376.0,1039.0,Valid,Valid,Fixation
2022-12-12 13:07:17.950405,,Eye Tracker,1374.0,1041.0,Valid,Valid,Fixation
2022-12-12 13:07:17.967059,,Eye Tracker,1367.0,1037.0,Valid,Valid,Fixation
2022-12-12 13:07:17.983714,,Eye Tracker,1367.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:18.000369,,Eye Tracker,1366.0,1031.0,Valid,Valid,Fixation
2022-12-12 13:07:18.017023,,Eye Tracker,1366.0,1028.0,Valid,Valid,Fixation
2022-12-12 13:07:18.033678,,Eye Tracker,1368.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:18.050333,,Eye Tracker,1366.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:18.066987,,Eye Tracker,1367.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:18.083642,,Eye Tracker,1365.0,1028.0,Valid,Valid,Fixation
2022-12-12 13:07:18.100297,,Eye Tracker,1363.0,1028.0,Valid,Valid,Fixation
2022-12-12 13:07:18.116952,,Eye Tracker,1362.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:18.133607,,Eye Tracker,1361.0,1033.0,Valid,Valid,Fixation
2022-12-12 13:07:18.150262,,Eye Tracker,1360.0,1032.0,Valid,Valid,Fixation
2022-12-12 13:07:18.166917,,Eye Tracker,1365.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:18.183571,,Eye Tracker,1370.0,1027.0,Valid,Valid,Fixation
2022-12-12 13:07:18.200226,,Eye Tracker,1367.0,1026.0,Valid,Valid,Fixation
2022-12-12 13:07:18.216881,,Eye Tracker,1366.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:18.233535,,Eye Tracker,1362.0,1028.0,Valid,Valid,Fixation
2022-12-12 13:07:18.250190,,Eye Tracker,1363.0,1029.0,Valid,Valid,Fixation
2022-12-12 13:07:18.266845,,Eye Tracker,1366.0,1028.0,Valid,Valid,Fixation
2022-12-12 13:07:18.283499,,Eye Tracker,1360.0,1030.0,Valid,Valid,Fixation
2022-12-12 13:07:18.300154,,Eye Tracker,1364.0,1031.0,Valid,Valid,Fixation
2022-12-12 13:07:18.316809,,Eye Tracker,1363.0,1031.0,Valid,Valid,Fixation
2022-12-12 13:07:18.333463,,Eye Tracker,1355.0,1036.0,Valid,Valid,Fixation
2022-12-12 13:07:18.350119,,Eye Tracker,1356.0,1039.0,Valid,Valid,Fixation
2022-12-12 13:07:18.366774,,Eye Tracker,1352.0,1039.0,Valid,Valid,Fixation
