Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668474630.592,MouseEvent,,1942.3333333333333,966.3333333333334,,,Fixation
1668474630.609134,,Mouse,1942.6666666666667,966.6666666666666,,,Fixation
1668474630.625789,,Eye Tracker,1943.0,967.0,Valid,Valid,Fixation
1668474630.657552,,Eye Tracker,1943.0,967.0,Valid,Valid,Fixation
1668474630.674207,,Eye Tracker,1940.0,968.0,Valid,Valid,Fixation
1668474630.690861,,Eye Tracker,1935.0,967.0,Valid,Valid,Fixation
1668474630.72424,,Eye Tracker,1936.0,969.0,Valid,Valid,Fixation
1668474630.740895,,Eye Tracker,1909.0,975.0,Valid,Valid,Saccade
1668474630.75755,,Eye Tracker,1878.0,974.0,Valid,Valid,Saccade
1668474630.774205,,Eye Tracker,1863.0,976.0,Valid,Valid,Fixation
1668474630.7777221,,Eye Tracker,1858.0,982.0,Valid,Valid,Fixation
1668474630.790859,,Eye Tracker,1857.0,984.0,Valid,Valid,Fixation
1668474630.793752,,Eye Tracker,1857.0,983.0,Valid,Valid,Fixation
1668474630.807514,,Eye Tracker,1855.0,978.0,Valid,Valid,Fixation
1668474630.809669,,Eye Tracker,1851.0,976.0,Valid,Valid,Fixation
1668474630.824169,,Eye Tracker,1853.0,983.0,Valid,Valid,Fixation
1668474630.825732,,Eye Tracker,1847.0,985.0,Valid,Valid,Fixation
1668474630.840823,,Eye Tracker,1880.0,990.0,Valid,Valid,Saccade
1668474630.841731,,Eye Tracker,1911.0,989.0,Valid,Valid,Saccade
1668474630.857478,,Eye Tracker,1905.0,985.0,Valid,Valid,Fixation
1668474630.857688,,Eye Tracker,1904.0,984.0,Valid,Valid,Fixation
1668474630.874133,,Eye Tracker,1900.0,987.0,Valid,Valid,Fixation
1668474630.875796,,Eye Tracker,1900.0,992.0,Valid,Valid,Fixation
1668474630.889757,,Eye Tracker,1899.0,988.0,Valid,Valid,Fixation
1668474630.8907871,,Eye Tracker,1896.0,989.0,Valid,Valid,Fixation
1668474630.905685,,Eye Tracker,1909.0,994.0,Valid,Valid,Fixation
1668474630.907443,,Eye Tracker,1909.0,996.0,Valid,Valid,Fixation
1668474630.921671,,Eye Tracker,1902.0,993.0,Valid,Valid,Fixation
1668474630.924098,,Eye Tracker,1904.0,986.0,Valid,Valid,Fixation
1668474630.93766,,Eye Tracker,1898.0,984.0,Valid,Valid,Fixation
1668474630.940752,,Eye Tracker,1889.0,989.0,Valid,Valid,Fixation
1668474630.95365,,Eye Tracker,1890.0,992.0,Valid,Valid,Fixation
1668474630.957407,,Mouse,1890.0,992.5,,,Fixation
1668474630.974062,,Eye Tracker,1890.0,993.0,Valid,Valid,Fixation
1668474630.990717,,Mouse,1888.5,993.0,,,Fixation
1668474631.007371,,Eye Tracker,1887.0,993.0,Valid,Valid,Fixation
1668474631.024026,,Mouse,1887.5,992.0,,,Fixation
1668474631.0406811,,Eye Tracker,1888.0,991.0,Valid,Valid,Fixation
1668474631.057336,,Mouse,1889.5,991.5,,,Fixation
1668474631.073991,,Eye Tracker,1891.0,992.0,Valid,Valid,Fixation
1668474631.090646,,Mouse,1892.0,991.5,,,Fixation
1668474631.1073,,Eye Tracker,1893.0,991.0,Valid,Valid,Fixation
1668474631.123955,,Mouse,1894.3333333333333,991.0,,,Fixation
1668474631.14061,,Mouse,1895.6666666666667,991.0,,,Fixation
1668474631.157264,,Eye Tracker,1897.0,991.0,Valid,Valid,Fixation
1668474631.173919,,Mouse,1897.5,990.0,,,Fixation
1668474631.190574,,Eye Tracker,1898.0,989.0,Valid,Valid,Fixation
1668474631.207229,,Mouse,1894.0,987.5,,,Fixation
1668474631.223884,,Eye Tracker,1890.0,986.0,Valid,Valid,Fixation
1668474631.240539,,Eye Tracker,1890.0,989.0,Valid,Valid,Fixation
1668474631.257194,,Mouse,1887.5,991.0,,,Fixation
1668474631.273848,,Eye Tracker,1885.0,993.0,Valid,Valid,Fixation
1668474631.290503,,Eye Tracker,1880.0,994.0,Valid,Valid,Fixation
1668474631.307158,,Mouse,1878.5,995.5,,,Fixation
1668474631.323812,,Eye Tracker,1877.0,997.0,Valid,Valid,Fixation
1668474631.340467,,Mouse,1874.3333333333333,997.3333333333334,,,Fixation
1668474631.357122,,Mouse,1871.6666666666667,997.6666666666666,,,Fixation
1668474631.373777,,Eye Tracker,1869.0,998.0,Valid,Valid,Fixation
1668474631.3904321,,Eye Tracker,1869.0,998.0,Valid,Valid,Fixation
1668474631.407087,,Mouse,1867.0,999.0,,,Fixation
1668474631.423741,,Eye Tracker,1865.0,1000.0,Valid,Valid,Fixation
1668474631.440396,,Mouse,1866.0,999.0,,,Fixation
1668474631.457051,,Eye Tracker,1867.0,998.0,Valid,Valid,Fixation
1668474631.473705,,Mouse,1864.0,996.0,,,Fixation
1668474631.49036,,Eye Tracker,1861.0,994.0,Valid,Valid,Fixation
1668474631.507015,,Mouse,1860.0,993.5,,,Fixation
1668474631.523671,,Eye Tracker,1859.0,993.0,Valid,Valid,Fixation
1668474631.540325,,Mouse,1863.5,993.0,,,Fixation
1668474631.553681,,Eye Tracker,1868.0,993.0,Valid,Valid,Fixation
1668474631.55698,,Mouse,1870.5,991.5,,,Fixation
1668474631.569695,,Eye Tracker,1873.0,990.0,Valid,Valid,Fixation
1668474631.573635,,Mouse,1871.5,990.0,,,Fixation
1668474631.585761,,Eye Tracker,1870.0,990.0,Valid,Valid,Fixation
1668474631.587409,,Mouse,1868.5,990.0,,,Fixation
1668474631.590289,,Eye Tracker,1867.0,990.0,Valid,Valid,Fixation
1668474631.601764,,Mouse,1863.5,991.0,,,Fixation
1668474631.606944,,Eye Tracker,1860.0,992.0,Valid,Valid,Fixation
1668474631.6177511,,Mouse,1857.0,991.6666666666666,,,Fixation
1668474631.623599,,Mouse,1854.0,991.3333333333334,,,Fixation
1668474631.633881,,Eye Tracker,1851.0,991.0,Valid,Valid,Fixation
1668474631.640253,,Mouse,1851.5,991.0,,,Fixation
1668474631.649999,,Eye Tracker,1852.0,991.0,Valid,Valid,Fixation
1668474631.656908,,Mouse,1857.5,992.0,,,Fixation
1668474631.665745,,Eye Tracker,1863.0,993.0,Valid,Valid,Fixation
1668474631.673563,,Mouse,1860.0,996.0,,,Fixation
1668474631.681745,,Eye Tracker,1857.0,999.0,Valid,Valid,Fixation
1668474631.690218,,Mouse,1853.5,1001.5,,,Fixation
1668474631.697974,,Eye Tracker,1850.0,1004.0,Valid,Valid,Fixation
1668474631.706873,,Eye Tracker,1853.0,1003.0,Valid,Valid,Fixation
1668474631.713912,,Mouse,1850.5,1003.0,,,Fixation
1668474631.723528,,Eye Tracker,1848.0,1003.0,Valid,Valid,Fixation
1668474631.729733,,Mouse,1851.0,1001.5,,,Fixation
1668474631.740182,,Eye Tracker,1854.0,1000.0,Valid,Valid,Fixation
1668474631.745771,,Mouse,1841.0,1000.0,,,Fixation
1668474631.756837,,Eye Tracker,1828.0,1000.0,Valid,Valid,Fixation
1668474631.761978,,Mouse,1813.5,1000.5,,,Saccade
1668474631.773492,,Eye Tracker,1799.0,1001.0,Valid,Valid,Saccade
1668474631.778081,,Mouse,1792.5,1001.5,,,Saccade
1668474631.790147,,Eye Tracker,1786.0,1002.0,Valid,Valid,Fixation
1668474631.793757,,Mouse,1783.0,1002.0,,,Fixation
1668474631.806801,,Eye Tracker,1780.0,1002.0,Valid,Valid,Fixation
1668474631.80976,,Mouse,1780.6666666666667,1001.6666666666666,,,Fixation
1668474631.823456,,Mouse,1781.3333333333333,1001.3333333333334,,,Fixation
1668474631.8257911,,Eye Tracker,1782.0,1001.0,Valid,Valid,Fixation
1668474631.840112,,Mouse,1779.5,1001.0,,,Fixation
1668474631.841793,,Eye Tracker,1777.0,1001.0,Valid,Valid,Fixation
1668474631.856766,,Mouse,1774.5,1000.5,,,Fixation
1668474631.857723,,Eye Tracker,1772.0,1000.0,Valid,Valid,Fixation
1668474631.873421,,Mouse,1769.5,1000.0,,,Fixation
1668474631.873729,,Eye Tracker,1767.0,1000.0,Valid,Valid,Fixation
1668474631.88972,,Mouse,1765.5,999.5,,,Fixation
1668474631.890076,,Eye Tracker,1764.0,999.0,Valid,Valid,Fixation
1668474631.905719,,Mouse,1764.5,999.5,,,Fixation
1668474631.90673,,Eye Tracker,1765.0,1000.0,Valid,Valid,Fixation
1668474631.92169,,Mouse,1765.5,1000.5,,,Fixation
1668474631.923385,,Eye Tracker,1766.0,1001.0,Valid,Valid,Fixation
1668474631.937747,,Mouse,1763.5,1000.5,,,Fixation
1668474631.94004,,Eye Tracker,1761.0,1000.0,Valid,Valid,Fixation
1668474631.953772,,Mouse,1759.3333333333333,1000.0,,,Fixation
1668474631.9566941,,Mouse,1757.6666666666667,1000.0,,,Fixation
1668474631.96973,,Eye Tracker,1756.0,1000.0,Valid,Valid,Fixation
1668474631.973349,,Mouse,1752.5,1000.0,,,Fixation
1668474631.9857981,,Eye Tracker,1749.0,1000.0,Valid,Valid,Fixation
1668474631.990005,,Mouse,1747.5,1000.0,,,Fixation
1668474632.001721,,Eye Tracker,1746.0,1000.0,Valid,Valid,Fixation
1668474632.006659,,Mouse,1745.0,1000.5,,,Fixation
1668474632.017734,,Eye Tracker,1744.0,1001.0,Valid,Valid,Fixation
1668474632.023314,,Mouse,1741.5,1000.0,,,Fixation
1668474632.033926,,Eye Tracker,1739.0,999.0,Valid,Valid,Fixation
1668474632.039969,,Mouse,1735.0,997.5,,,Fixation
1668474632.049717,,Eye Tracker,1731.0,996.0,Valid,Valid,Fixation
1668474632.056624,,Mouse,1729.5,996.0,,,Fixation
1668474632.065751,,Eye Tracker,1728.0,996.0,Valid,Valid,Fixation
1668474632.073278,,Mouse,1725.3333333333333,998.0,,,Fixation
1668474632.08173,,Mouse,1722.6666666666667,1000.0,,,Fixation
1668474632.089933,,Eye Tracker,1720.0,1002.0,Valid,Valid,Fixation
1668474632.097737,,Mouse,1720.5,1002.5,,,Fixation
1668474632.1065881,,Eye Tracker,1721.0,1003.0,Valid,Valid,Fixation
1668474632.1137161,,Mouse,1720.5,1001.5,,,Fixation
1668474632.123242,,Eye Tracker,1720.0,1000.0,Valid,Valid,Fixation
1668474632.129715,,Mouse,1719.0,999.5,,,Fixation
1668474632.139897,,Eye Tracker,1718.0,999.0,Valid,Valid,Fixation
1668474632.156553,,Mouse,1717.0,999.5,,,Fixation
1668474632.173207,,Eye Tracker,1716.0,1000.0,Valid,Valid,Fixation
1668474632.189862,,Mouse,1712.5,999.0,,,Fixation
1668474632.193785,,Eye Tracker,1709.0,998.0,Valid,Valid,Fixation
1668474632.206517,,Mouse,1707.5,998.0,,,Fixation
1668474632.209755,,Eye Tracker,1706.0,998.0,Valid,Valid,Fixation
1668474632.223171,,Mouse,1702.5,1002.0,,,Fixation
1668474632.225728,,Eye Tracker,1699.0,1006.0,Valid,Valid,Fixation
1668474632.239826,,Mouse,1681.5,1007.5,,,Saccade
1668474632.242027,,Eye Tracker,1664.0,1009.0,Valid,Valid,Saccade
1668474632.256481,,Mouse,1647.0,1009.5,,,Saccade
1668474632.257983,,Eye Tracker,1630.0,1010.0,Valid,Valid,Saccade
1668474632.273135,,Eye Tracker,1623.0,1010.0,Valid,Valid,Fixation
1668474632.273746,,Mouse,1621.0,1011.0,,,Fixation
1668474632.289761,,Eye Tracker,1619.0,1012.0,Valid,Valid,Fixation
1668474632.28979,,Mouse,1617.0,1013.5,,,Fixation
1668474632.305762,,Eye Tracker,1615.0,1015.0,Valid,Valid,Fixation
1668474632.306446,,Mouse,1613.5,1013.0,,,Fixation
1668474632.321722,,Eye Tracker,1612.0,1011.0,Valid,Valid,Fixation
1668474632.323101,,Mouse,1610.0,1009.5,,,Fixation
1668474632.337763,,Eye Tracker,1608.0,1008.0,Valid,Valid,Fixation
1668474632.339755,,Mouse,1608.3333333333333,1007.6666666666666,,,Fixation
1668474632.35372,,Mouse,1608.6666666666667,1007.3333333333334,,,Fixation
1668474632.35641,,Eye Tracker,1609.0,1007.0,Valid,Valid,Fixation
1668474632.36988,,Mouse,1604.5,1008.0,,,Fixation
1668474632.373065,,Eye Tracker,1600.0,1009.0,Valid,Valid,Fixation
1668474632.385977,,Mouse,1598.3333333333333,1011.6666666666666,,,Fixation
1668474632.389719,,Mouse,1596.6666666666667,1014.3333333333334,,,Fixation
1668474632.401959,,Eye Tracker,1595.0,1017.0,Valid,Valid,Fixation
1668474632.406374,,Mouse,1594.5,1017.5,,,Fixation
1668474632.423029,,Eye Tracker,1594.0,1018.0,Valid,Valid,Fixation
1668474632.425785,,Mouse,1592.5,1017.5,,,Fixation
1668474632.439683,,Eye Tracker,1591.0,1017.0,Valid,Valid,Fixation
1668474632.441811,,Mouse,1587.0,1016.0,,,Fixation
1668474632.4563391,,Eye Tracker,1583.0,1015.0,Valid,Valid,Fixation
1668474632.45772,,Mouse,1582.6666666666667,1014.6666666666666,,,Fixation
1668474632.472994,,Mouse,1582.3333333333333,1014.3333333333334,,,Fixation
1668474632.473896,,Eye Tracker,1582.0,1014.0,Valid,Valid,Fixation
1668474632.489648,,Eye Tracker,1586.0,1013.0,Valid,Valid,Fixation
1668474632.489795,,Mouse,1583.3333333333333,1014.6666666666666,,,Fixation
1668474632.505837,,Mouse,1580.6666666666667,1016.3333333333334,,,Fixation
1668474632.506303,,Eye Tracker,1578.0,1018.0,Valid,Valid,Fixation
1668474632.522958,,Mouse,1575.0,1018.5,,,Fixation
1668474632.539612,,Eye Tracker,1572.0,1019.0,Valid,Valid,Fixation
1668474632.556267,,Mouse,1571.5,1018.5,,,Fixation
1668474632.572922,,Eye Tracker,1571.0,1018.0,Valid,Valid,Fixation
1668474632.589577,,Mouse,1567.0,1019.0,,,Fixation
1668474632.606231,,Eye Tracker,1563.0,1020.0,Valid,Valid,Fixation
1668474632.622887,,Mouse,1563.5,1020.0,,,Fixation
1668474632.639542,,Eye Tracker,1564.0,1020.0,Valid,Valid,Fixation
1668474632.656196,,Mouse,1563.5,1020.0,,,Fixation
1668474632.672851,,Eye Tracker,1563.0,1020.0,Valid,Valid,Fixation
1668474632.689506,,Mouse,1561.3333333333333,1020.0,,,Fixation
1668474632.70616,,Mouse,1559.6666666666667,1020.0,,,Fixation
1668474632.722815,,Eye Tracker,1558.0,1020.0,Valid,Valid,Fixation
1668474632.73947,,Mouse,1559.0,1020.0,,,Fixation
1668474632.756124,,Eye Tracker,1560.0,1020.0,Valid,Valid,Fixation
1668474632.77278,,Mouse,1549.0,1018.0,,,Fixation
1668474632.789435,,Eye Tracker,1538.0,1016.0,Valid,Valid,Fixation
1668474632.806089,,Mouse,1500.0,1011.5,,,Saccade
1668474632.817922,,Eye Tracker,1462.0,1007.0,Valid,Valid,Saccade
1668474632.817922,,Eye Tracker,1422.0,999.0,Valid,Valid,Saccade
1668474632.822744,,Mouse,1419.3333333333333,998.6666666666666,,,Saccade
1668474632.839399,,Mouse,1416.6666666666667,998.3333333333334,,,Fixation
1668474632.856054,,Eye Tracker,1414.0,998.0,Valid,Valid,Fixation
1668474632.872708,,Mouse,1413.0,998.5,,,Fixation
1668474632.881847,,Eye Tracker,1412.0,999.0,Valid,Valid,Fixation
1668474632.881847,,Mouse,1412.5,999.0,,,Fixation
1668474632.889363,,Eye Tracker,1413.0,999.0,Valid,Valid,Fixation
1668474632.906018,,Mouse,1412.0,999.0,,,Fixation
1668474632.922672,,Eye Tracker,1411.0,999.0,Valid,Valid,Fixation
1668474632.939328,,Mouse,1410.0,999.5,,,Fixation
1668474632.955983,,Eye Tracker,1409.0,1000.0,Valid,Valid,Fixation
1668474632.972637,,Mouse,1408.5,1000.5,,,Fixation
1668474632.989292,,Eye Tracker,1408.0,1001.0,Valid,Valid,Fixation
1668474633.005947,,Mouse,1406.5,1000.0,,,Fixation
1668474633.022601,,Eye Tracker,1405.0,999.0,Valid,Valid,Fixation
1668474633.039256,,Mouse,1403.0,1000.0,,,Fixation
1668474633.049743,,Eye Tracker,1401.0,1001.0,Valid,Valid,Fixation
1668474633.055911,,Eye Tracker,1399.0,1002.0,Valid,Valid,Fixation
1668474633.066009,,Mouse,1398.5,1001.0,,,Fixation
1668474633.072565,,Eye Tracker,1398.0,1000.0,Valid,Valid,Fixation
1668474633.081746,,Mouse,1400.0,999.5,,,Fixation
1668474633.089221,,Eye Tracker,1402.0,999.0,Valid,Valid,Fixation
1668474633.097821,,Mouse,1402.5,999.5,,,Fixation
1668474633.105876,,Eye Tracker,1403.0,1000.0,Valid,Valid,Fixation
1668474633.113714,,Mouse,1400.5,1002.5,,,Fixation
1668474633.122531,,Eye Tracker,1398.0,1005.0,Valid,Valid,Fixation
1668474633.129744,,Mouse,1398.0,1004.0,,,Fixation
1668474633.139185,,Eye Tracker,1398.0,1003.0,Valid,Valid,Fixation
1668474633.145756,,Mouse,1397.0,1001.5,,,Fixation
1668474633.15584,,Eye Tracker,1396.0,1000.0,Valid,Valid,Fixation
1668474633.16176,,Mouse,1396.0,1000.0,,,Fixation
1668474633.1724951,,Eye Tracker,1396.0,1000.0,Valid,Valid,Fixation
1668474633.177697,,Mouse,1399.5,998.5,,,Fixation
1668474633.189149,,Eye Tracker,1403.0,997.0,Valid,Valid,Fixation
1668474633.193891,,Mouse,1402.0,997.0,,,Fixation
1668474633.205804,,Eye Tracker,1401.0,997.0,Valid,Valid,Fixation
1668474633.209791,,Mouse,1399.0,997.6666666666666,,,Fixation
1668474633.222459,,Mouse,1397.0,998.3333333333334,,,Fixation
1668474633.239114,,Eye Tracker,1395.0,999.0,Valid,Valid,Fixation
1668474633.255769,,Mouse,1393.0,998.5,,,Fixation
1668474633.257731,,Eye Tracker,1391.0,998.0,Valid,Valid,Fixation
1668474633.272424,,Mouse,1393.5,999.0,,,Fixation
1668474633.273762,,Eye Tracker,1396.0,1000.0,Valid,Valid,Fixation
1668474633.289078,,Mouse,1386.0,995.5,,,Fixation
1668474633.289722,,Eye Tracker,1376.0,991.0,Valid,Valid,Fixation
1668474633.305719,,Mouse,1366.3333333333333,986.3333333333334,,,Fixation
1668474633.305733,,Mouse,1356.6666666666667,981.6666666666666,,,Saccade
1668474633.321744,,Eye Tracker,1347.0,977.0,Valid,Valid,Saccade
1668474633.322388,,Eye Tracker,1342.0,977.0,Valid,Valid,Fixation
1668474633.337724,,Mouse,1342.5,977.5,,,Fixation
1668474633.339042,,Eye Tracker,1343.0,978.0,Valid,Valid,Fixation
1668474633.355697,,Mouse,1343.5,978.0,,,Fixation
1668474633.361799,,Eye Tracker,1344.0,978.0,Valid,Valid,Fixation
1668474633.3723521,,Mouse,1343.5,978.0,,,Fixation
1668474633.389007,,Eye Tracker,1343.0,978.0,Valid,Valid,Fixation
1668474633.393747,,Mouse,1345.0,978.5,,,Fixation
1668474633.405662,,Eye Tracker,1347.0,979.0,Valid,Valid,Fixation
1668474633.409753,,Mouse,1346.5,981.5,,,Fixation
1668474633.422317,,Eye Tracker,1346.0,984.0,Valid,Valid,Fixation
1668474633.426034,,Mouse,1346.0,986.0,,,Fixation
1668474633.438972,,Eye Tracker,1346.0,988.0,Valid,Valid,Fixation
1668474633.441714,,Mouse,1346.0,987.5,,,Fixation
1668474633.455626,,Eye Tracker,1346.0,987.0,Valid,Valid,Fixation
1668474633.457785,,Mouse,1345.5,988.0,,,Fixation
1668474633.472281,,Eye Tracker,1345.0,989.0,Valid,Valid,Fixation
1668474633.473782,,Eye Tracker,1348.0,989.0,Valid,Valid,Fixation
1668474633.488936,,Mouse,1348.0,989.0,,,Fixation
1668474633.490164,,Eye Tracker,1348.0,989.0,Valid,Valid,Fixation
1668474633.50559,,Mouse,1347.0,988.5,,,Fixation
1668474633.50593,,Eye Tracker,1346.0,988.0,Valid,Valid,Fixation
1668474633.521789,,Mouse,1346.5,986.0,,,Fixation
1668474633.522245,,Eye Tracker,1347.0,984.0,Valid,Valid,Fixation
1668474633.5378351,,Mouse,1346.0,984.3333333333334,,,Fixation
1668474633.5389,,Mouse,1345.0,984.6666666666666,,,Fixation
1668474633.555555,,Eye Tracker,1344.0,985.0,Valid,Valid,Fixation
1668474633.569779,,Mouse,1344.0,985.0,,,Fixation
1668474633.57221,,Eye Tracker,1344.0,985.0,Valid,Valid,Fixation
1668474633.588865,,Mouse,1343.5,984.5,,,Fixation
1668474633.593762,,Eye Tracker,1343.0,984.0,Valid,Valid,Fixation
1668474633.605519,,Mouse,1342.0,983.5,,,Fixation
1668474633.60972,,Eye Tracker,1341.0,983.0,Valid,Valid,Fixation
1668474633.622174,,Eye Tracker,1332.0,977.0,Valid,Valid,Fixation
1668474633.625766,,Eye Tracker,1320.0,968.0,Valid,Valid,Fixation
1668474633.638829,,Mouse,1317.0,965.5,,,Fixation
1668474633.641724,,Eye Tracker,1314.0,963.0,Valid,Valid,Fixation
1668474633.655484,,Mouse,1315.0,964.5,,,Fixation
1668474633.657693,,Eye Tracker,1316.0,966.0,Valid,Valid,Fixation
1668474633.672138,,Mouse,1315.0,966.0,,,Fixation
1668474633.681796,,Eye Tracker,1314.0,966.0,Valid,Valid,Fixation
1668474633.688793,,Mouse,1316.0,967.0,,,Fixation
1668474633.705448,,Eye Tracker,1318.0,968.0,Valid,Valid,Fixation
1668474633.713713,,Mouse,1317.5,969.0,,,Fixation
1668474633.722103,,Eye Tracker,1317.0,970.0,Valid,Valid,Fixation
1668474633.738758,,Eye Tracker,1312.0,972.0,Valid,Valid,Fixation
1668474633.753752,,Eye Tracker,1315.0,973.0,Valid,Valid,Fixation
1668474633.755413,,Mouse,1314.5,973.5,,,Fixation
1668474633.772067,,Eye Tracker,1314.0,974.0,Valid,Valid,Fixation
1668474633.788722,,Mouse,1314.0,973.5,,,Fixation
1668474633.793936,,Eye Tracker,1314.0,973.0,Valid,Valid,Fixation
1668474633.805377,,Mouse,1313.5,972.0,,,Fixation
1668474633.822031,,Eye Tracker,1313.0,971.0,Valid,Valid,Fixation
1668474633.838686,,Mouse,1312.5,971.0,,,Fixation
1668474633.855341,,Eye Tracker,1312.0,971.0,Valid,Valid,Fixation
1668474633.871996,,Mouse,1313.0,970.5,,,Fixation
1668474633.888651,,Eye Tracker,1314.0,970.0,Valid,Valid,Fixation
1668474633.905306,,Mouse,1314.0,969.6666666666666,,,Fixation
1668474633.921961,,Mouse,1314.0,969.3333333333334,,,Fixation
1668474633.929858,,Eye Tracker,1314.0,969.0,Valid,Valid,Fixation
1668474633.929858,,Eye Tracker,1314.0,973.0,Valid,Valid,Fixation
1668474633.938615,,Mouse,1313.0,973.3333333333334,,,Fixation
1668474633.95527,,Mouse,1312.0,973.6666666666666,,,Fixation
1668474633.969867,,Eye Tracker,1311.0,974.0,Valid,Valid,Fixation
1668474633.969867,,Mouse,1311.0,973.5,,,Fixation
1668474633.971925,,Eye Tracker,1311.0,973.0,Valid,Valid,Fixation
1668474633.988579,,Eye Tracker,1312.0,971.0,Valid,Valid,Fixation
1668474634.005234,,Mouse,1312.0,970.5,,,Fixation
1668474634.02189,,Eye Tracker,1312.0,970.0,Valid,Valid,Fixation
1668474634.038544,,Mouse,1311.5,969.0,,,Fixation
1668474634.055199,,Eye Tracker,1311.0,968.0,Valid,Valid,Fixation
1668474634.071854,,Mouse,1310.5,966.0,,,Fixation
1668474634.088508,,Eye Tracker,1310.0,964.0,Valid,Valid,Fixation
1668474634.105163,,Mouse,1310.3333333333333,964.3333333333334,,,Fixation
1668474634.121818,,Mouse,1310.6666666666667,964.6666666666666,,,Fixation
1668474634.129713,,Eye Tracker,1311.0,965.0,Valid,Valid,Fixation
1668474634.138472,,Mouse,1309.5,964.5,,,Fixation
1668474634.145691,,Eye Tracker,1308.0,964.0,Valid,Valid,Fixation
1668474634.155127,,Mouse,1309.0,964.0,,,Fixation
1668474634.16169,,Eye Tracker,1310.0,964.0,Valid,Valid,Fixation
1668474634.171782,,Mouse,1311.5,963.5,,,Fixation
1668474634.1777,,Eye Tracker,1313.0,963.0,Valid,Valid,Fixation
1668474634.188438,,Mouse,1312.6666666666667,962.6666666666666,,,Fixation
1668474634.193692,,Mouse,1312.3333333333333,962.3333333333334,,,Fixation
1668474634.205092,,Eye Tracker,1312.0,962.0,Valid,Valid,Fixation
1668474634.209938,,Eye Tracker,1308.0,963.0,Valid,Valid,Fixation
1668474634.221747,,Mouse,1306.5,963.0,,,Fixation
1668474634.225803,,Eye Tracker,1305.0,963.0,Valid,Valid,Fixation
1668474634.238402,,Mouse,1305.0,962.0,,,Fixation
1668474634.241709,,Mouse,1305.0,961.0,,,Fixation
1668474634.255056,,Eye Tracker,1305.0,960.0,Valid,Valid,Fixation
1668474634.257908,,Mouse,1302.5,953.5,,,Fixation
1668474634.271711,,Eye Tracker,1300.0,947.0,Valid,Valid,Fixation
1668474634.273739,,Mouse,1299.0,938.5,,,Fixation
1668474634.288366,,Eye Tracker,1298.0,930.0,Valid,Valid,Fixation
1668474634.289787,,Mouse,1300.5,922.5,,,Fixation
1668474634.30502,,Eye Tracker,1303.0,915.0,Valid,Valid,Fixation
1668474634.305784,,Mouse,1304.0,911.5,,,Fixation
1668474634.321675,,Eye Tracker,1305.0,908.0,Valid,Valid,Fixation
1668474634.321785,,Mouse,1305.0,907.6666666666666,,,Fixation
1668474634.337721,,Mouse,1305.0,907.3333333333334,,,Fixation
1668474634.338331,,Eye Tracker,1305.0,907.0,Valid,Valid,Fixation
1668474634.353802,,Eye Tracker,1306.0,908.0,Valid,Valid,Fixation
1668474634.354985,,Mouse,1307.0,906.0,,,Fixation
1668474634.369745,,Eye Tracker,1308.0,904.0,Valid,Valid,Fixation
1668474634.37164,,Mouse,1308.0,905.0,,,Fixation
1668474634.386051,,Mouse,1308.0,906.0,,,Fixation
1668474634.388295,,Eye Tracker,1308.0,907.0,Valid,Valid,Fixation
1668474634.40174,,Mouse,1309.0,907.5,,,Fixation
1668474634.404949,,Eye Tracker,1310.0,908.0,Valid,Valid,Fixation
1668474634.417865,,Mouse,1311.0,905.5,,,Fixation
1668474634.417883,,Eye Tracker,1312.0,903.0,Valid,Valid,Fixation
1668474634.421604,,Mouse,1311.3333333333333,902.6666666666666,,,Fixation
1668474634.433738,,Mouse,1310.6666666666667,902.3333333333334,,,Fixation
1668474634.4382591,,Eye Tracker,1310.0,902.0,Valid,Valid,Fixation
1668474634.450148,,Mouse,1310.5,902.0,,,Fixation
1668474634.454914,,Eye Tracker,1311.0,902.0,Valid,Valid,Fixation
1668474634.465735,,Mouse,1312.0,899.5,,,Fixation
1668474634.471568,,Eye Tracker,1313.0,897.0,Valid,Valid,Fixation
1668474634.481823,,Mouse,1312.0,897.5,,,Fixation
1668474634.488223,,Eye Tracker,1311.0,898.0,Valid,Valid,Fixation
1668474634.49773,,Mouse,1310.5,897.5,,,Fixation
1668474634.504879,,Eye Tracker,1310.0,897.0,Valid,Valid,Fixation
1668474634.513878,,Mouse,1312.0,895.5,,,Fixation
1668474634.521533,,Eye Tracker,1314.0,894.0,Valid,Valid,Fixation
1668474634.529763,,Mouse,1313.0,894.0,,,Fixation
1668474634.538188,,Eye Tracker,1312.0,894.0,Valid,Valid,Fixation
1668474634.546001,,Mouse,1309.5,897.5,,,Fixation
1668474634.554843,,Eye Tracker,1307.0,901.0,Valid,Valid,Fixation
1668474634.56172,,Mouse,1307.3333333333333,901.0,,,Fixation
1668474634.571497,,Mouse,1307.6666666666667,901.0,,,Fixation
1668474634.577733,,Eye Tracker,1308.0,901.0,Valid,Valid,Fixation
1668474634.588152,,Mouse,1311.5,898.0,,,Fixation
1668474634.59376,,Eye Tracker,1315.0,895.0,Valid,Valid,Fixation
1668474634.604807,,Mouse,1315.5,880.5,,,Fixation
1668474634.6178591,,Eye Tracker,1316.0,866.0,Valid,Valid,Saccade
1668474634.621461,,Mouse,1314.0,850.5,,,Saccade
